BE_13_11_03_00	Krūmi
BE_13_11_05_00	Augi
BE_13_11_07_00	Citi apstādījumi
BE_15_00_00_00	Teritorijas ceļi un laukumi (TS-CD)
BE_15_01_00_00	Segumi
BE_15_01_01_00	Asfaltbetona segumi
BE_15_01_03_00	Betona segumi
BE_15_01_05_00	Bruģakmens segumi
BE_15_01_07_00	Zālājs
BE_15_01_09_00	Stiprināts zālājs
BE_15_01_11_00	Citi segumi
BE_15_03_00_00	Satiksmes organizēšanas elementi
BE_15_03_01_00	Ceļa zīmes
BE_15_03_03_00	Horizontālie apzīmējumi
BE_15_03_05_00	Luksofori
BE_15_05_00_00	Seguma papildelementi
BE_15_05_01_00	Apmales
BE_15_05_03_00	Segumu salaidumi
BE_15_05_05_00	Ūdens novadīšanas elementi
BE_15_05_07_00	Citi seguma papildelementi
BE_15_07_00_00	Norobežojošie elementi
BE_15_07_01_00	Barjeras
BE_15_07_03_00	Stabi
BE_17_00_00_00	Gaisa vadu sistēmas
BE_17_01_00_00	Dūmu nosūce
BE_17_01_01_00	Dūmu un karstuma izvades sistēma
BE_17_01_03_00	Gaisa virsspiediena sistēmu
BE_17_01_05_00	Citas dūmu nosūces sistēmas
BE_17_03_00_00	Ventilācijas sistēmas
BE_17_03_01_00	Telpu ventilācijas sistēmas
BE_17_03_01_01	Centralizētā mehāniskā ventilācijas sistēma
BE_17_03_01_03	Dabīgā ventilācijas sistēma
BE_17_03_01_05	Mehāniskā nosūces sistēma
BE_17_03_01_07	Mehāniskā pieplūdes sistēma
BE_17_03_01_09	Sanitārā mezgla ventilācijas sistēma
BE_17_03_01_11	Vietējā nosūces sistēma
BE_17_03_01_13	Virtuves ventilācijas sistēma
BE_17_03_01_15	Citas telpu ventilācijas sistēmas
BE_17_03_03_00	Tvaiku nosūces sistēmas
BE_17_03_05_00	Industriālās tvaiku nosūces sistēmas
BE_17_03_07_00	Autostāvvietu ventilācijas sistēma
BE_17_03_09_00	Citas ventilācijas sistēmas
BE_17_05_00_00	Citas gaisa vadu sistēmas
BE_19_00_00_00	Cauruļvadu sistēmas
BE_19_01_00_00	Apkures sistēmas
BE_19_01_01_00	Apkures sistēmas
BE_19_01_03_00	Zemgrīdas apkures sistēmas
BE_19_01_05_00	Sniega un ledus kausēšanas sistēmas
BE_19_01_07_00	Siltumsūkņu sistēmas
BE_19_01_09_00	Citas apkures sistēmas
BE_19_03_00_00	Klimata kontroles sistēmas
BE_19_03_01_00	Centralizētā kondicionēšanas sistēma
BE_19_03_03_00	Lokālā kondicionēšaas sistēma
BE_19_03_05_00	Citas klimata kontroles sistēmas
